batch,state,step,energy_ewm
250,ground,427,-154.43125569843502
250,ground,428,-154.432072529529
250,ground,429,-154.4328645914192
250,ground,430,-154.43316053940936
250,ground,431,-154.43338058768848
250,ground,432,-154.4337107344798
250,ground,433,-154.43397155983448
250,ground,434,-154.43526157948898
250,ground,435,-154.43568034006168
250,ground,436,-154.4357547110093
250,ground,437,-154.436902084888
250,ground,438,-154.4374042206403
250,ground,439,-154.43856584233114
250,ground,440,-154.4382630379505
250,ground,441,-154.4383464461142
250,ground,442,-154.43888298982654
250,ground,443,-154.43988465332416
250,ground,444,-154.44047682567054
250,ground,445,-154.44068943499332
250,ground,446,-154.44074640240143
250,ground,447,-154.44048084189095
250,ground,448,-154.44048822595343
250,ground,449,-154.44050780002692
250,ground,450,-154.4403639391304
250,ground,451,-154.44076186919798
250,ground,452,-154.4409145314882
250,ground,453,-154.44159721721587
250,ground,454,-154.44239540150127
250,ground,455,-154.44175426732903
250,ground,456,-154.44109429018908
250,ground,457,-154.44168303140304
250,ground,458,-154.44207211802788
250,ground,459,-154.4424857177543
250,ground,460,-154.44205346677813
250,ground,461,-154.44194769704018
250,ground,462,-154.44248381735656
250,ground,463,-154.4429837182047
250,ground,464,-154.44380423091124
250,ground,465,-154.44404612076198
250,ground,466,-154.4446479931566
250,ground,467,-154.4452901623086
250,ground,468,-154.4454607180246
250,ground,469,-154.44667246133332
250,ground,470,-154.44657682097926
250,ground,471,-154.44775654647404
250,ground,472,-154.4479450567083
250,ground,473,-154.44890499015014
250,ground,474,-154.44895304068402
250,ground,475,-154.44923245023537
250,ground,476,-154.4489580695642
250,ground,477,-154.44932743785927
250,ground,478,-154.45001220728133
250,ground,479,-154.45016143150605
250,ground,480,-154.45026281713373
250,ground,481,-154.45043202705872
250,ground,482,-154.45150150606247
250,ground,483,-154.451301411858
250,ground,484,-154.45228006659002
250,ground,485,-154.45193965163435
250,ground,486,-154.45237590915593
250,ground,487,-154.45256614514938
250,ground,488,-154.45328571873696
250,ground,489,-154.45397115527408
250,ground,490,-154.45426811714984
250,ground,491,-154.45534760471324
250,ground,492,-154.45487623311544
250,ground,493,-154.4550211562714
250,ground,494,-154.45522294440633
250,ground,495,-154.45581063270137
250,ground,496,-154.45623320486695
250,ground,497,-154.45558693484867
250,ground,498,-154.45618245611652
250,ground,499,-154.45601535225347
250,ground,500,-154.45613201680973
250,ground,501,-154.45642545771713
250,ground,502,-154.45758673376434
250,ground,503,-154.45847063364008
250,ground,504,-154.4593042377549
250,ground,505,-154.46033516150004
250,ground,506,-154.46077826827997
250,ground,507,-154.46087567998688
250,ground,508,-154.46157794593913
250,ground,509,-154.4611314396581
250,ground,510,-154.460885655106
250,ground,511,-154.46093462050464
250,ground,512,-154.46110189030762
250,ground,513,-154.46129805779128
250,ground,514,-154.46104985115178
250,ground,515,-154.46050442415523
250,ground,516,-154.46100158227938
250,ground,517,-154.46089269655621
250,ground,518,-154.46135866714184
250,ground,519,-154.46116259549308
250,ground,520,-154.4613474665003
250,ground,521,-154.46177057563892
250,ground,522,-154.46226814829635
250,ground,523,-154.46210932049766
250,ground,524,-154.46274721742023
250,ground,525,-154.4622610075464
250,ground,526,-154.4625659772528
250,ground,527,-154.46236158092364
250,ground,528,-154.46249096638664
250,ground,529,-154.4630335544804
250,ground,530,-154.46354337364255
250,ground,531,-154.46375362409964
250,ground,532,-154.46409181705073
250,ground,533,-154.4642671078887
250,ground,534,-154.464717652781
250,ground,535,-154.46492777425397
250,ground,536,-154.4645631806895
250,ground,537,-154.4650536500527
250,ground,538,-154.46561758098534
250,ground,539,-154.46526553321016
250,ground,540,-154.4654465564034
250,ground,541,-154.4661603996772
250,ground,542,-154.466024838653
250,ground,543,-154.4663486058117
250,ground,544,-154.4666059971717
250,ground,545,-154.46680004288686
250,ground,546,-154.46628426141402
250,ground,547,-154.4659932396112
250,ground,548,-154.4661814672644
250,ground,549,-154.46670073038914
250,ground,550,-154.46640741388148
250,ground,551,-154.4664406902604
250,ground,552,-154.4656156867293
250,ground,553,-154.4662013819939
250,ground,554,-154.46596984880503
250,ground,555,-154.46613416605746
250,ground,556,-154.46541822984526
250,ground,557,-154.46512636937757
250,ground,558,-154.46476667332433
250,ground,559,-154.46515751213107
250,ground,560,-154.46572220236843
250,ground,561,-154.46572220236843
250,ground,562,-154.46532013320993
250,ground,563,-154.46490314158513
250,ground,564,-154.46510017532697
250,ground,565,-154.46478774703277
250,ground,566,-154.46488322388257
250,ground,567,-154.46583031197522
250,ground,568,-154.46545697629244
250,ground,569,-154.46547013967975
250,ground,570,-154.46618366882714
250,ground,571,-154.46663141154872
250,ground,572,-154.46613597614657
250,ground,573,-154.46690337041147
250,ground,574,-154.46757152573915
250,ground,575,-154.4677280200052
250,ground,576,-154.46747737045212
250,ground,577,-154.4679579847485
250,ground,578,-154.4680937077251
250,ground,579,-154.46801474177747
250,ground,580,-154.46799012067427
250,ground,581,-154.46863672758965
250,ground,582,-154.46834129092588
250,ground,583,-154.46869347925332
250,ground,584,-154.4695902373123
250,ground,585,-154.46979577300112
250,ground,586,-154.46960880605675
250,ground,587,-154.47033497290573
250,ground,588,-154.4705847169234
250,ground,589,-154.4713360707192
250,ground,590,-154.47162711817987
250,ground,591,-154.47137175077793
250,ground,592,-154.47162810365535
250,ground,593,-154.47195353668604
250,ground,594,-154.47236956310147
250,ground,595,-154.47232584315074
250,ground,596,-154.47232550962315
250,ground,597,-154.4721730887634
250,ground,598,-154.4727702714613
250,ground,599,-154.47288182269727
250,ground,600,-154.47227890779303
250,ground,601,-154.47232528112013
250,ground,602,-154.47246871628286
250,ground,603,-154.4729983138784
250,ground,604,-154.4737447676042
250,ground,605,-154.4738440505413
250,ground,606,-154.47418168325464
250,ground,607,-154.47449538380891
250,ground,608,-154.47519842292397
250,ground,609,-154.4751400553037
250,ground,610,-154.47539757070192
250,ground,611,-154.4751376984846
250,ground,612,-154.47571699546393
250,ground,613,-154.47646002641224
250,ground,614,-154.47654226880852
250,ground,615,-154.4766531235197
250,ground,616,-154.47698662424315
250,ground,617,-154.47738023982058
250,ground,618,-154.47751977130667
250,ground,619,-154.47745201757132
250,ground,620,-154.47789039890384
250,ground,621,-154.4770838909226
250,ground,622,-154.47724951060923
250,ground,623,-154.47775662829392
250,ground,624,-154.47866048446667
250,ground,625,-154.47898399598716
250,ground,626,-154.47929325924346
250,ground,627,-154.47883503261053
250,ground,628,-154.47892499996212
250,ground,629,-154.47892499996212
250,ground,630,-154.47847244099336
250,ground,631,-154.47874991893326
250,ground,632,-154.4792003446518
250,ground,633,-154.4797857227905
250,ground,634,-154.48032929098954
250,ground,635,-154.4802626973443
250,ground,636,-154.4806366083568
250,ground,637,-154.48021507542188
250,ground,638,-154.48036780820541
250,ground,639,-154.48090698650583
250,ground,640,-154.4811634450732
250,ground,641,-154.48143087150223
250,ground,642,-154.4817634638712
250,ground,643,-154.48250434358752
250,ground,644,-154.4828330958843
250,ground,645,-154.48265114921804
250,ground,646,-154.48323927112708
250,ground,647,-154.4836978197292
250,ground,648,-154.48484871153832
250,ground,649,-154.48543692869697
250,ground,650,-154.48467203189216
250,ground,651,-154.4843740269954
250,ground,652,-154.48504047816957
250,ground,653,-154.48591777628891
250,ground,654,-154.48670378336655
250,ground,655,-154.48678072854642
250,ground,656,-154.48648736662844
250,ground,657,-154.48672437685525
250,ground,658,-154.4869341359713
250,ground,659,-154.4869341359713
250,ground,660,-154.48711999799974
250,ground,661,-154.48725221928578
250,ground,662,-154.48675897972512
250,ground,663,-154.48730091550308
250,ground,664,-154.48814377335506
250,ground,665,-154.48830215505677
250,ground,666,-154.4884304156256
250,ground,667,-154.48866079097527
250,ground,668,-154.48992099981547
250,ground,669,-154.4900916451998
250,ground,670,-154.48971777256784
250,ground,671,-154.49008629243107
250,ground,672,-154.490517751172
250,ground,673,-154.49113656413138
250,ground,674,-154.49172468142484
250,ground,675,-154.49152013269818
250,ground,676,-154.49119166020634
250,ground,677,-154.49101067024864
250,ground,678,-154.49129291952764
250,ground,679,-154.49148078976086
250,ground,680,-154.49071704703326
250,ground,681,-154.490689047396
250,ground,682,-154.49108055979454
250,ground,683,-154.49172814550104
250,ground,684,-154.49213716433326
250,ground,685,-154.49178530289046
250,ground,686,-154.49138402664835
250,ground,687,-154.49148085767834
250,ground,688,-154.4924434352204
250,ground,689,-154.49362932227157
250,ground,690,-154.49336229534035
250,ground,691,-154.492968058152
250,ground,692,-154.49271449765521
250,ground,693,-154.49322843050936
250,ground,694,-154.49382676771557
250,ground,695,-154.4928187420089
250,ground,696,-154.49279927020075
250,ground,697,-154.4930144057252
250,ground,698,-154.49306494417482
250,ground,699,-154.49384029774973
250,ground,700,-154.4936261835069
250,ground,701,-154.49395415529207
250,ground,702,-154.49384367077076
250,ground,703,-154.49375955984962
250,ground,704,-154.49411973755585
250,ground,705,-154.493693621429
250,ground,706,-154.49326177138997
250,ground,707,-154.4937142032065
250,ground,708,-154.49393448017085
250,ground,709,-154.4947586452341
250,ground,710,-154.49471548113522
250,ground,711,-154.49395991562827
250,ground,712,-154.49396280124233
250,ground,713,-154.4945691255374
250,ground,714,-154.49532456402528
250,ground,715,-154.4951176692474
250,ground,716,-154.49492754980017
250,ground,717,-154.49511997784998
250,ground,718,-154.4952408938561
250,ground,719,-154.4961049858207
250,ground,720,-154.49557263216676
250,ground,721,-154.49560211024826
250,ground,722,-154.49586476297245
250,ground,723,-154.4965338509934
250,ground,724,-154.4968735144151
250,ground,725,-154.49657138985083
250,ground,726,-154.49708206785215
250,ground,727,-154.49676590852107
250,ground,728,-154.49750782622183
250,ground,729,-154.4978399599646
250,ground,730,-154.49786530183957
250,ground,731,-154.49757534412586
250,ground,732,-154.49750329144365
250,ground,733,-154.49809755831578
250,ground,734,-154.4989650586044
250,ground,735,-154.49847654006896
250,ground,736,-154.49781771590924
250,ground,737,-154.49763348531545
250,ground,738,-154.4982337902147
250,ground,739,-154.4992318940085
250,ground,740,-154.49879307103018
250,ground,741,-154.49859478643424
250,ground,742,-154.4987129503518
250,ground,743,-154.49928517455726
250,ground,744,-154.5003686378167
250,ground,745,-154.4994277471646
250,ground,746,-154.49953681028805
250,ground,747,-154.49888276240804
250,ground,748,-154.49890187946198
250,ground,749,-154.49964040612798
250,ground,750,-154.4984881825348
250,ground,751,-154.49801163303138
250,ground,752,-154.49764603671824
250,ground,753,-154.49790132422177
250,ground,754,-154.49865549850912
250,ground,755,-154.49798275587463
250,ground,756,-154.49786206241438
250,ground,757,-154.49839859676234
250,ground,758,-154.4987930010707
250,ground,759,-154.49941884684281
250,ground,760,-154.49973245143306
250,ground,761,-154.49917632309365
250,ground,762,-154.49943798215287
250,ground,763,-154.4994009230562
250,ground,764,-154.4999519640767
250,ground,765,-154.4994024820751
250,ground,766,-154.49957431990555
